role,c0,t,I,q,I_cum,Iq_cum,It_cum,phase
near-inflection,3.4930896646937613,187.34813626733046,40.0,0.3980649502768343,295.28184392605243,142.8808681279674,438.16271205401983,threshold-control
near-inflection,3.4930896646937613,187.35758141582988,40.0,0.3980455580999106,295.3934100201276,142.95464478314065,438.34805480326827,threshold-control
near-inflection,3.4930896646937613,187.3670265643293,40.0,0.39802616595313856,295.5049761142028,143.02841546753197,438.5333915817348,threshold-control
near-inflection,3.4930896646937613,187.37647171282873,40.0,0.39800677383656025,295.616542208278,143.10218018153535,438.71872238981337,threshold-control
near-inflection,3.4930896646937613,187.38591686132816,40.0,0.3979873817502181,295.7281083023532,143.1759389255447,438.90404722789793,threshold-control
near-inflection,3.4930896646937613,187.39536200982758,40.0,0.39796798969415403,295.8396743964284,143.24969169995398,439.0893660963824,threshold-control
near-inflection,3.4930896646937613,187.40480715832703,40.0,0.39794859766841006,295.95124049050395,143.32343850515733,439.2746789956613,threshold-control
near-inflection,3.4930896646937613,187.41425230682646,40.0,0.3979292056730286,296.0628065845791,143.39717934154808,439.4599859261272,threshold-control
near-inflection,3.4930896646937613,187.42369745532588,40.0,0.3979098137080518,296.1743726786543,143.4709142095204,439.6452868881747,threshold-control
near-inflection,3.4930896646937613,187.4331426038253,40.0,0.39789042177352163,296.2859387727295,143.54464310946804,439.8305818821975,threshold-control
near-inflection,3.4930896646937613,187.44258775232473,40.0,0.3978710298694802,296.3975048668047,143.61836604178478,440.0158709085895,threshold-control
near-inflection,3.4930896646937613,187.45203290082415,40.0,0.3978516379959698,296.5090709608799,143.69208300686446,440.2011539677443,threshold-control
near-inflection,3.4930896646937613,187.46147804932357,40.0,0.3978322461530327,296.62063705495507,143.76579400510073,440.3864310600558,threshold-control
near-inflection,3.4930896646937613,187.470923197823,40.0,0.3978128543407107,296.7322031490303,143.83949903688736,440.5717021859176,threshold-control
near-inflection,3.4930896646937613,187.48036834632242,40.0,0.39779346255904613,296.84376924310544,143.91319810261803,440.75696734572347,threshold-control
