eta,eta_fraction,c0,t1,t2,control_duration,clear_time,peak_I,cum_total_infections,q_start,q_mean_control,q_min_theory,q_max_theory,J_q,J_total,w_c,w_q,C2,C2_daily,plateau_max_error,q_was_clipped,status,S_star,Sc,Sbar,strategy
404.24247099543345,3.071051211695156e-05,12.8872,12.75894527382143,5584.122595514088,5571.363650240267,6332.613901541815,404.24247099543345,2127145.972394083,0.8470092471494985,0.6171515945106628,0.323,0.8470092471494985,1638.825501316921,2420.7171363617736,1.0,5.0,6730.291228299965,1.208015066115765,0.0,0.0,ok,13160814.40301832,2974125.4115856644,1711863.1646776996,情景一阈值控制
404.24247099543345,3.071051211695156e-05,12.8872,,,,45.27247064225558,151.90363476994975,2096.75783869108,,,,,,,1.0,5.0,106.82561583051039,2.3596153316802524,,,fixed_reference,,,,TDINN控制
404.24247099543345,3.071051211695156e-05,12.8872,,,,75.57641977089962,1377549.706167043,,,,,,,,1.0,5.0,0.0,0.0,,,routine,,,,常规控制
404.24247099543345,3.071051211695156e-05,12.8872,12.75894527382143,5584.122595514088,5571.363650240267,6332.613901541815,404.24247099543345,2127145.972394083,0.8470092471494985,0.6171515945106628,0.323,0.8470092471494985,1638.825501316921,2420.7171363617736,1.0,10.0,13460.58245659993,2.41603013223153,0.0,0.0,ok,13160814.40301832,2974125.4115856644,1711863.1646776996,情景一阈值控制
404.24247099543345,3.071051211695156e-05,12.8872,,,,45.27247064225558,151.90363476994975,2096.75783869108,,,,,,,1.0,10.0,202.61175978172065,4.475385524743389,,,fixed_reference,,,,TDINN控制
404.24247099543345,3.071051211695156e-05,12.8872,,,,75.57641977089962,1377549.706167043,,,,,,,,1.0,10.0,0.0,0.0,,,routine,,,,常规控制
454.1459388650521,3.4501704692323335e-05,12.8872,12.874106641222117,4971.979857285338,4959.105750644116,5689.711828857622,454.1459388650521,2129270.166500647,0.8470061105223421,0.6171538224188223,0.323,0.8470061105223421,1458.7399123311302,2154.711835053368,1.0,1.0,1198.1425083807565,0.24160454901070322,0.0,0.0,ok,13160544.584609235,2974125.4115856644,1711863.1646776996,情景一阈值控制
454.1459388650521,3.4501704692323335e-05,12.8872,,,,45.27247064225558,151.90363476994975,2096.75783869108,,,,,,,1.0,1.0,30.19670066954218,0.6669991772297433,,,fixed_reference,,,,TDINN控制
454.1459388650521,3.4501704692323335e-05,12.8872,,,,75.57641977089962,1377549.706167043,,,,,,,,1.0,1.0,0.0,0.0,,,routine,,,,常规控制
454.1459388650521,3.4501704692323335e-05,12.8872,12.874106641222117,4971.979857285338,4959.105750644116,5689.711828857622,454.1459388650521,2129270.166500647,0.8470061105223421,0.6171538224188223,0.323,0.8470061105223421,1458.7399123311302,2154.711835053368,1.0,2.0,2396.285016761513,0.48320909802140644,0.0,0.0,ok,13160544.584609235,2974125.4115856644,1711863.1646776996,情景一阈值控制
454.1459388650521,3.4501704692323335e-05,12.8872,,,,45.27247064225558,151.90363476994975,2096.75783869108,,,,,,,1.0,2.0,49.35392945978424,1.0901532158423708,,,fixed_reference,,,,TDINN控制
454.1459388650521,3.4501704692323335e-05,12.8872,,,,75.57641977089962,1377549.706167043,,,,,,,,1.0,2.0,0.0,0.0,,,routine,,,,常规控制
