switch_s,total_cost
7.449958013686759362e-01,1.607638577191121243e+00
7.459524590060280236e-01,1.608420055257311798e+00
7.469091166433800000e-01,1.609205562602110007e+00
7.478657742807319764e-01,1.609995100949937585e+00
7.488224319180839528e-01,1.610788672027512636e+00
7.497790895554359292e-01,1.611586277563962222e+00
7.507357471927880166e-01,1.612387919290988014e+00
7.516924048301398820e-01,1.613193598943000850e+00
7.526490624674919694e-01,1.614003318257261954e+00
7.536057201048439458e-01,1.614817078974002840e+00
7.545623777421959222e-01,1.615634882836607833e+00
7.555190353795478986e-01,1.616456731591701113e+00
7.564756930168998750e-01,1.617282626989307248e+00
7.574323506542519624e-01,1.618112570782991755e+00
7.583890082916038278e-01,1.618946564729973892e+00
7.593456659289559152e-01,1.619784610591271212e+00
7.603023235663078916e-01,1.620626710131825909e+00
7.612589812036598680e-01,1.621472865120643370e+00
7.622156388410118444e-01,1.622323077330910301e+00
7.631722964783638208e-01,1.623177348540127074e+00
7.641289541157159082e-01,1.624035680530241610e+00
7.650856117530677736e-01,1.624898075087754634e+00
7.660422693904198610e-01,1.625764534003873107e+00
7.669989270277717264e-01,1.626635059074617251e+00
7.679555846651238138e-01,1.627509652100933124e+00
7.689122423024757902e-01,1.628388314888845168e+00
7.698688999398277666e-01,1.629271049249551018e+00
7.708255575771798540e-01,1.630157856999552957e+00
7.717822152145317194e-01,1.631048739960771377e+00
7.727388728518838068e-01,1.631943699960671790e+00
7.736955304892356722e-01,1.632842738832379847e+00
7.746521881265877596e-01,1.633745858414788144e+00
7.756088457639397360e-01,1.634653060552687664e+00
7.765655034012917124e-01,1.635564347096873039e+00
7.775221610386436888e-01,1.636479719904254226e+00
