time,s,i,q,beta1,beta2
1.400000000000000133e+00,9.670425394203988612e-01,2.591872332499014012e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.409999999999999920e+00,9.667910893256560501e-01,2.609215737148763703e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.419999999999999929e+00,9.665380230221513047e-01,2.626668568476170709e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.429999999999999938e+00,9.662833312105977290e-01,2.644231427224206024e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.439999999999999947e+00,9.660270045527383775e-01,2.661904916226019713e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.449999999999999956e+00,9.657690336718622870e-01,2.679689640357795291e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.459999999999999964e+00,9.655094091527102185e-01,2.697586206539236489e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.469999999999999973e+00,9.652481215412276327e-01,2.715595223735704430e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.479999999999999982e+00,9.649851613445629139e-01,2.733717302957379414e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.489999999999999991e+00,9.647205190312345691e-01,2.751953057241102174e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.500000000000000000e+00,9.644541850316830089e-01,2.770303101603069362e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.510000000000000009e+00,9.641861497379609069e-01,2.788768053049124618e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.520000000000000018e+00,9.639164035036330569e-01,2.807348530570530007e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.530000000000000027e+00,9.636449366437814801e-01,2.826045155143283930e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.540000000000000036e+00,9.633717394353759067e-01,2.844858549691181918e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.550000000000000044e+00,9.630968021176490312e-01,2.863789339054729349e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.560000000000000053e+00,9.628201148917684415e-01,2.882838149996345967e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.570000000000000062e+00,9.625416679208156356e-01,2.902005611196075557e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.580000000000000071e+00,9.622614513298235472e-01,2.921292353247134307e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.590000000000000080e+00,9.619794552063579696e-01,2.940699008602188497e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.600000000000000089e+00,9.616956696006153660e-01,2.960226211561220108e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.610000000000000098e+00,9.614100845252003813e-01,2.979874598267983135e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.620000000000000107e+00,9.611226899551298386e-01,2.999644806707298106e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.630000000000000115e+00,9.608334758279621912e-01,3.019537476691396341e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
